"Family","ParameterName","ParameterValue","Seed","Protocol","N","k","GraphShellRadius","BinsRequested","CommonBins","BHEdges","FlatEdges","BHMeanDegree","FlatMeanDegree","BHComponents","FlatComponents","BHLargestComponentFraction","FlatLargestComponentFraction","BHValidLogCMDFraction","FlatValidLogCMDFraction","BHRadius","FlatRadius","EdgeCountDifference","FlatEdgesTiedAtRadius","XYMismatch","SampleXYHash","CommonProfileHash","SourceCheckpoint"
"Hayward","ell",0,3,"Original matched-flat KNN",1000,16,3,12,12,10165,9005,20.33,18.01,1,1,1,1,1,1,0.7953209233491141,,-1160,,1.3322676295501878e-15,9.786394414550087e+76,1.4416272306917376e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p\seed_03.mx"
"Hayward","ell",0,4,"Original matched-flat KNN",1000,16,3,12,12,10240,9055,20.48,18.11,1,1,1,1,1,1,0.7976202332072396,,-1185,,1.3322676295501878e-15,1.5660476439812592e+76,1.1376086051633287e+77,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p\seed_04.mx"
"Hayward","ell",0,5,"Original matched-flat KNN",1000,16,3,12,12,10118,8977,20.236,17.954,1,1,1,1,1,1,0.8022515352005237,,-1141,,1.3322676295501878e-15,7.853452071969787e+76,9.140397047711831e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p\seed_05.mx"
"Hayward","ell",0,6,"Original matched-flat KNN",1000,16,3,12,12,10173,9048,20.346,18.096,1,1,1,1,1,1,0.7961464190314037,,-1125,,1.3322676295501878e-15,1.3853633519420293e+76,3.1440894230156384e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p\seed_06.mx"
"Hayward","ell",0,7,"Original matched-flat KNN",1000,16,3,12,12,10056,9093,20.112,18.186,1,1,1,1,1,1,0.7899363552358623,,-963,,1.3322676295501878e-15,6.424489459649499e+76,7.434399930375013e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p\seed_07.mx"
"Hayward","ell",0,8,"Original matched-flat KNN",1000,16,3,12,12,10152,9041,20.304,18.082,1,1,1,1,1,1,0.7874691859184492,,-1111,,1.3322676295501878e-15,5.885087084323455e+73,1.4062008425767417e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p\seed_08.mx"
"Hayward","ell",0,9,"Original matched-flat KNN",1000,16,3,12,12,10000,9097,20,18.194,1,1,1,1,1,1,0.7763326196190593,,-903,,1.3322676295501878e-15,7.702201353128008e+76,3.261677222917022e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p\seed_09.mx"
"Hayward","ell",0,10,"Original matched-flat KNN",1000,16,3,12,12,10236,8978,20.472,17.956,1,1,1,1,1,1,0.8037518399677501,,-1258,,1.3322676295501878e-15,1.082408841250049e+77,7.563827438200372e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p\seed_10.mx"
"Hayward","ell",0.1,1,"Original matched-flat KNN",1000,16,3,12,12,10340,9071,20.68,18.142,1,1,1,1,1,1,0.7950919536337865,,-1269,,8.881784197001252e-16,9.804047888925079e+75,9.406546794675436e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p1\seed_01.mx"
"Hayward","ell",0.1,2,"Original matched-flat KNN",1000,16,3,12,12,10237,9079,20.474,18.158,1,1,1,1,1,1,0.791578269463991,,-1158,,8.881784197001252e-16,1.5530873545265394e+76,8.951513558819988e+76,"C:\Users\palom\Documents\graphs\results\bardeen_hayward_audit_multiseed\checkpoints\scan\hayward\ell_0p1\seed_02.mx"
